Store,Date,Weekly_Sales,IsHoliday,Type,WeekNum,Size
1,05-02-2010,1643690.9,FALSE,A,6,151315
1,12-02-2010,1641957.44,TRUE,A,7,151315
1,19-02-2010,1613694.17,FALSE,A,8,151315
1,26-02-2010,1409727.59,FALSE,A,9,151315
1,05-03-2010,1554806.68,FALSE,A,10,151315
1,12-03-2010,1440937.59,FALSE,A,11,151315
1,19-03-2010,1472515.79,FALSE,A,12,151315
1,26-03-2010,1404429.92,FALSE,A,13,151315
1,02-04-2010,1594968.28,FALSE,A,14,151315
1,09-04-2010,1545418.53,FALSE,A,15,151315
1,16-04-2010,1466058.28,FALSE,A,16,151315
1,23-04-2010,1391256.12,FALSE,A,17,151315
1,30-04-2010,1425100.71,FALSE,A,18,151315
1,07-05-2010,1603955.12,FALSE,A,19,151315
1,14-05-2010,1494251.5,FALSE,A,20,151315
1,21-05-2010,1399662.07,FALSE,A,21,151315
1,28-05-2010,1432069.95,FALSE,A,22,151315
1,04-06-2010,1615524.71,FALSE,A,23,151315
1,11-06-2010,1542561.09,FALSE,A,24,151315
1,18-06-2010,1503284.06,FALSE,A,25,151315
1,25-06-2010,1422711.6,FALSE,A,26,151315
1,02-07-2010,1492418.14,FALSE,A,27,151315
1,09-07-2010,1546074.18,FALSE,A,28,151315
1,16-07-2010,1448938.92,FALSE,A,29,151315
1,23-07-2010,1385065.2,FALSE,A,30,151315
1,30-07-2010,1371986.6,FALSE,A,31,151315
1,06-08-2010,1605491.78,FALSE,A,32,151315
1,13-08-2010,1508237.76,FALSE,A,33,151315
1,20-08-2010,1513080.49,FALSE,A,34,151315
1,27-08-2010,1449142.92,FALSE,A,35,151315
1,03-09-2010,1540163.53,FALSE,A,36,151315
1,10-09-2010,1507460.69,TRUE,A,37,151315
1,17-09-2010,1430378.67,FALSE,A,38,151315
1,24-09-2010,1351791.03,FALSE,A,39,151315
1,01-10-2010,1453329.5,FALSE,A,40,151315
1,08-10-2010,1508355.93,FALSE,A,41,151315
1,15-10-2010,1459409.1,FALSE,A,42,151315
1,22-10-2010,1345454,FALSE,A,43,151315
1,29-10-2010,1384209.22,FALSE,A,44,151315
1,05-11-2010,1551659.28,FALSE,A,45,151315
1,12-11-2010,1494479.49,FALSE,A,46,151315
1,19-11-2010,1483784.18,FALSE,A,47,151315
1,26-11-2010,1955624.11,TRUE,A,48,151315
1,03-12-2010,1548033.78,FALSE,A,49,151315
1,10-12-2010,1682614.26,FALSE,A,50,151315
1,17-12-2010,1891034.93,FALSE,A,51,151315
1,24-12-2010,2387950.2,FALSE,A,52,151315
1,31-12-2010,1367320.01,TRUE,A,53,151315
1,07-01-2011,1444732.28,FALSE,A,1,151315
1,14-01-2011,1391013.96,FALSE,A,2,151315
1,21-01-2011,1327505.42,FALSE,A,3,151315
1,28-01-2011,1316899.31,FALSE,A,4,151315
1,04-02-2011,1606629.58,FALSE,A,5,151315
1,11-02-2011,1649614.93,TRUE,A,6,151315
1,18-02-2011,1686842.78,FALSE,A,7,151315
1,25-02-2011,1456800.28,FALSE,A,8,151315
1,04-03-2011,1636263.41,FALSE,A,9,151315
1,11-03-2011,1553191.63,FALSE,A,10,151315
1,18-03-2011,1576818.06,FALSE,A,11,151315
1,25-03-2011,1541102.38,FALSE,A,12,151315
1,01-04-2011,1495064.75,FALSE,A,13,151315
1,08-04-2011,1614855.35,FALSE,A,14,151315
1,15-04-2011,1559889,FALSE,A,15,151315
1,22-04-2011,1564819.81,FALSE,A,16,151315
1,29-04-2011,1455090.69,FALSE,A,17,151315
1,06-05-2011,1629391.28,FALSE,A,18,151315
1,13-05-2011,1604775.58,FALSE,A,19,151315
1,20-05-2011,1428248.27,FALSE,A,20,151315
1,27-05-2011,1466046.67,FALSE,A,21,151315
1,03-06-2011,1635078.41,FALSE,A,22,151315
1,10-06-2011,1588948.32,FALSE,A,23,151315
1,17-06-2011,1532114.86,FALSE,A,24,151315
1,24-06-2011,1438830.15,FALSE,A,25,151315
1,01-07-2011,1488538.09,FALSE,A,26,151315
1,08-07-2011,1535245.64,FALSE,A,27,151315
1,15-07-2011,1455119.97,FALSE,A,28,151315
1,22-07-2011,1396926.82,FALSE,A,29,151315
1,29-07-2011,1352219.79,FALSE,A,30,151315
1,05-08-2011,1624383.75,FALSE,A,31,151315
1,12-08-2011,1525147.09,FALSE,A,32,151315
1,19-08-2011,1530761.43,FALSE,A,33,151315
1,26-08-2011,1464693.46,FALSE,A,34,151315
1,02-09-2011,1550229.22,FALSE,A,35,151315
1,09-09-2011,1540471.24,TRUE,A,36,151315
1,16-09-2011,1514259.78,FALSE,A,37,151315
1,23-09-2011,1380020.27,FALSE,A,38,151315
1,30-09-2011,1394561.83,FALSE,A,39,151315
1,07-10-2011,1630989.95,FALSE,A,40,151315
1,14-10-2011,1494521.93,FALSE,A,41,151315
1,21-10-2011,1502562.78,FALSE,A,42,151315
1,28-10-2011,1445249.09,FALSE,A,43,151315
1,04-11-2011,1697229.58,FALSE,A,44,151315
1,11-11-2011,1594938.89,FALSE,A,45,151315
1,18-11-2011,1539483.7,FALSE,A,46,151315
1,25-11-2011,2033320.66,TRUE,A,47,151315
1,02-12-2011,1584083.95,FALSE,A,48,151315
1,09-12-2011,1799682.38,FALSE,A,49,151315
1,16-12-2011,1881176.67,FALSE,A,50,151315
1,23-12-2011,2271184.99,FALSE,A,51,151315
1,30-12-2011,1497462.72,TRUE,A,52,151315
1,06-01-2012,1550369.92,FALSE,A,1,151315
1,13-01-2012,1459601.17,FALSE,A,2,151315
1,20-01-2012,1394393.84,FALSE,A,3,151315
